都道府県名,団体名拠点名,〒,住所
北海道,栗山町子育て支援センター,069-1511,夕張郡栗山町朝日3丁目115-14栗山町子育て支援センター　スキップ 
北海道,ねむのき,070-0030,旭川市宮下通14丁目 北彩都子ども活動センターＡＳＯＢＩ～ＢＡ
北海道,こもれび,070-0031,旭川市1条通8丁目ﾌｨｰﾙ旭川6階もりもりﾊﾟｰｸ
北海道,ちゅうりっぷ,070-0825,旭川市北門町8丁目北門児童センター
北海道,おひさま,070-0872,旭川市春光2条8丁目1-3おひさま鉄道弘済会保育所
北海道,ぱれっと,070-8003,旭川市神楽3条6丁目　神楽児童センター
北海道,いずみ,070-8019,旭川市神居9条4丁目いずみこども園
北海道,美瑛町子ども支援センター,071-0213,上川郡美瑛町東町3丁目1番2号
北海道,"中富良野町地域子育て支援センター
「そらいろのたね」",071-0752,空知郡中富良野町本町10番55号なかふらの保育園
北海道,鷹栖町北野地区子育て支援センター,071-1222,上川郡鷹栖町北野東2条2丁目5番1号たかす円山幼稚園
北海道,東川町地域子育て支援センター,071-1404,上川郡東川町西4号北8番地
北海道,地域世代交流センターこれっと,071-1501,上川郡東神楽町南1条西1丁目4番1号東神楽町総合体育館・地域世代交流センター
北海道,地域世代交流センターぱれっと,071-1523,上川郡東神楽町ひじり野南1条2丁目2番1号
北海道,東神楽町子育て支援センターティコット,071-1523,上川郡東神楽町ひじり野南1条6丁目1番1号ソプラティコファンタジースクエア東神楽店
北海道,こまどりつ～ながれ,071-8132,旭川市末広2条13丁目　末広こまどり保育園内
北海道,美唄市子育て支援センター,072-0026,美唄市西3条南2丁目4-1
北海道,深川市子育て支援センター,074-0006,深川市6条11番1号2F
北海道,深川市つどいの広場,074-0022,深川市北光町1丁目2番30-105道営住宅集会所
北海道,幌加内町地域子育て支援センター「きのこ」,074-0411,北海道雨竜郡幌加内町　双葉保育園内
北海道,富良野市子育て支援センター,076-0018,富良野市弥生町1番3号富良野市保健センター
北海道,留萌市子育て支援センター,077-0023,留萌市五十嵐町1丁目1-10留萌市保健福祉センターはーとふる
北海道,増毛町立認定こども園あっぷる,077-0224,増毛郡増毛町南畠中町2丁目35番地の2
北海道,増毛町地域包括支援センター,077-0292,増毛郡増毛町弁天町3丁目61番地
北海道,当麻町子育て支援センター,078-1304,上川郡当麻町4条西3丁目3番2号当麻町子育て総合センター
北海道,愛別町子育て支援センター,078-1404,上川郡愛別町字北町250番地28
北海道,上川町子育て支援センター,078-1744,上川郡上川町北町163番地上川町立中央保育所
北海道,秩父別町地域子育て支援センター,078-2100,雨竜郡秩父別町1302番地の107認定こども園くるみ
北海道,沼田町子育て交流広場「えがお」,078-2202,雨竜郡沼田町南一条2丁目8番17号
北海道,沼田町地域子育て支援センター,078-2202,雨竜郡沼田町南一条6丁目6番30号沼田認定こども園
北海道,北竜町地域子育て支援センター,078-2512,雨竜郡北竜町字和27番地2
北海道,おびら子育てサロン,078-3301,留萌郡小平町字小平町356番地の2小平町文化交流センター
